block_id,sub_block_id,aic_time(us),aic_total_cycles,aic_l0a_read_bw(GB/s),aic_l0a_write_bw(GB/s),aic_l0b_read_bw(GB/s),aic_l0b_write_bw(GB/s),aic_l0c_read_bw_cube(GB/s),aic_l0c_write_bw_cube(GB/s),aiv_time(us),aiv_total_cycles,
0,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31324.562500,51685526,
1,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31329.677734,51693967,
2,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31416.714844,51837581,
3,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31474.308594,51932607,
4,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31439.519531,51875206,
5,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31485.388672,51950892,
6,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31971.597656,52753136,
7,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31933.478516,52690239,
8,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31781.970703,52440252,
9,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31863.039062,52574014,
10,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31521.992188,52011287,
11,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31544.988281,52049231,
12,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31368.652344,51758276,
13,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31409.710938,51826024,
14,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31469.171875,51924133,
15,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31484.562500,51949530,
16,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31489.500000,51957675,
17,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31541.519531,52043508,
18,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32015.236328,52825140,
19,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32045.158203,52874513,
20,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32225.484375,53172046,
21,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32258.453125,53226448,
22,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31613.494141,52162265,
23,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31618.972656,52171302,
24,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32215.212891,53155101,
25,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32252.755859,53217048,
26,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32060.128906,52899211,
27,vector0,NA,NA,NA,NA,NA,NA,NA,NA,32083.746094,52938181,
28,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31491.257812,51960575,
29,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31536.611328,52035408,
30,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31461.890625,51912121,
31,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31489.234375,51957235,
32,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31376.890625,51771867,
33,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31411.880859,51829604,
34,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31523.740234,52014171,
35,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31566.589844,52084874,
36,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31817.337891,52498609,
37,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31847.339844,52548110,
38,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31912.972656,52656405,
39,vector0,NA,NA,NA,NA,NA,NA,NA,NA,31946.750000,52712138,
