block_id,sub_block_id,aic_time(us),aic_total_cycles,aiv_time(us),aiv_total_cycles,aiv_ub_read_bw_vector(GB/s),aiv_ub_write_bw_vector(GB/s),aiv_ub_read_bw_scalar(GB/s),aiv_ub_write_bw_scalar(GB/s),
0,vector0,NA,NA,31324.562500,51685526,75.187668,37.009472,0.024350,0.048697,
1,vector0,NA,NA,31329.677734,51693967,75.175392,37.003429,0.024346,0.048689,
2,vector0,NA,NA,31416.714844,51837581,74.967125,36.900913,0.024279,0.048554,
3,vector0,NA,NA,31474.308594,51932607,74.818253,36.827637,0.024231,0.048457,
4,vector0,NA,NA,31439.519531,51875206,74.912743,36.874149,0.024261,0.048519,
5,vector0,NA,NA,31485.388672,51950892,74.803612,36.820427,0.024226,0.048448,
6,vector0,NA,NA,31971.597656,52753136,73.666031,36.260479,0.023857,0.047711,
7,vector0,NA,NA,31933.478516,52690239,73.742447,36.298092,0.023882,0.047761,
8,vector0,NA,NA,31781.970703,52440252,74.105560,36.476830,0.024000,0.047996,
9,vector0,NA,NA,31863.039062,52574014,73.917015,36.384022,0.023939,0.047874,
10,vector0,NA,NA,31521.992188,52011287,74.716751,36.777672,0.024198,0.048392,
11,vector0,NA,NA,31544.988281,52049231,74.650612,36.745121,0.024176,0.048349,
12,vector0,NA,NA,31368.652344,51758276,75.081985,36.957455,0.024316,0.048628,
13,vector0,NA,NA,31409.710938,51826024,74.983841,36.909142,0.024284,0.048565,
14,vector0,NA,NA,31469.171875,51924133,74.842155,36.839401,0.024238,0.048473,
15,vector0,NA,NA,31484.562500,51949530,74.793884,36.815643,0.024223,0.048442,
16,vector0,NA,NA,31489.500000,51957675,74.793846,36.815620,0.024223,0.048442,
17,vector0,NA,NA,31541.519531,52043508,74.670494,36.754902,0.024183,0.048362,
18,vector0,NA,NA,32015.236328,52825140,73.565620,36.211056,0.023825,0.047646,
19,vector0,NA,NA,32045.158203,52874513,73.485443,36.171593,0.023799,0.047594,
20,vector0,NA,NA,32225.484375,53172046,73.085655,35.974804,0.023669,0.047335,
21,vector0,NA,NA,32258.453125,53226448,73.010963,35.938038,0.023645,0.047287,
22,vector0,NA,NA,31613.494141,52162265,74.500488,36.671223,0.024128,0.048252,
23,vector0,NA,NA,31618.972656,52171302,74.475945,36.659142,0.024120,0.048236,
24,vector0,NA,NA,32215.212891,53155101,73.108963,35.986275,0.023677,0.047350,
25,vector0,NA,NA,32252.755859,53217048,73.023857,35.944386,0.023649,0.047295,
26,vector0,NA,NA,32060.128906,52899211,73.462608,36.160351,0.023792,0.047579,
27,vector0,NA,NA,32083.746094,52938181,73.397064,36.128086,0.023770,0.047537,
28,vector0,NA,NA,31491.257812,51960575,74.789673,36.813564,0.024221,0.048439,
29,vector0,NA,NA,31536.611328,52035408,74.682114,36.760624,0.024187,0.048369,
30,vector0,NA,NA,31461.890625,51912121,74.859482,36.847927,0.024244,0.048484,
31,vector0,NA,NA,31489.234375,51957235,74.782791,36.810181,0.024219,0.048434,
32,vector0,NA,NA,31376.890625,51771867,75.062271,36.947750,0.024310,0.048615,
33,vector0,NA,NA,31411.880859,51829604,74.978661,36.906593,0.024283,0.048561,
34,vector0,NA,NA,31523.740234,52014171,74.712608,36.775635,0.024196,0.048389,
35,vector0,NA,NA,31566.589844,52084874,74.599533,36.719975,0.024160,0.048316,
36,vector0,NA,NA,31817.337891,52498609,74.023186,36.436283,0.023973,0.047942,
37,vector0,NA,NA,31847.339844,52548110,73.953453,36.401958,0.023951,0.047897,
38,vector0,NA,NA,31912.972656,52656405,73.801361,36.327091,0.023901,0.047799,
39,vector0,NA,NA,31946.750000,52712138,73.706047,36.280182,0.023870,0.047737,
